"Data from Richmond MathScience Innovation Center (37.55652, -77.40027)
* Davis data from 11/2 on may be off by one hour; daylight savings time doesn't appear to have been accounted for when the data was downloaded from Davis (weatherlink.com)",,,,,
"DEQ Date & Time
(UTC)","DEQ PM2.5
(ug/m^3)","Davis Date & Time*
(UTC)","Davis PM2.5
(ug/m^3)","PurpleAir Date & Time 
(UTC)","PurpleAir PM2.5
CORRECTED
(ug/m^3)"
3/1/2025 0:00:00,6,3/1/2025 0:00:00,5.0,3/1/2025 0:01:18,6.75
3/1/2025 1:00:00,4.1,3/1/2025 1:00:00,2.3,3/1/2025 1:01:18,4.79
3/1/2025 2:00:00,4,3/1/2025 2:00:00,2.0,3/1/2025 2:01:19,4.73
3/1/2025 3:00:00,4.1,3/1/2025 3:00:00,2.0,3/1/2025 3:01:19,4.62
3/1/2025 4:00:00,4.2,3/1/2025 4:00:00,2.5,3/1/2025 4:01:20,4.78
3/1/2025 5:00:00,4.2,3/1/2025 5:00:00,2.8,3/1/2025 5:03:20,4.62
3/1/2025 6:00:00,5.1,3/1/2025 6:00:00,3.5,3/1/2025 6:01:21,5.42
3/1/2025 7:00:00,6.2,3/1/2025 7:00:00,6.3,3/1/2025 7:01:22,6.44
3/1/2025 8:00:00,6.8,3/1/2025 8:00:00,7.8,3/1/2025 8:01:23,6.65
3/1/2025 9:00:00,6.9,3/1/2025 9:00:00,8.0,3/1/2025 9:01:23,6.69
3/1/2025 10:00:00,6.8,3/1/2025 10:00:00,8.0,3/1/2025 10:01:23,6.44
3/1/2025 11:00:00,6.8,3/1/2025 11:00:00,8.0,3/1/2025 11:01:24,6.37
3/1/2025 12:00:00,6.6,3/1/2025 12:00:00,7.0,3/1/2025 12:01:24,6.44
3/1/2025 13:00:00,6,3/1/2025 13:00:00,5.8,3/1/2025 13:01:25,6.32
3/1/2025 14:00:00,5.4,3/1/2025 14:00:00,4.5,3/1/2025 14:01:26,6.13
3/1/2025 15:00:00,5.1,3/1/2025 15:00:00,4.0,3/1/2025 15:01:26,6.22
3/1/2025 16:00:00,4.4,3/1/2025 16:00:00,2.0,3/1/2025 16:01:27,5.75
3/1/2025 17:00:00,4,3/1/2025 17:00:00,1.0,3/1/2025 17:01:28,5.72
3/1/2025 18:00:00,4,3/1/2025 18:00:00,1.0,3/1/2025 18:01:28,5.65
3/1/2025 19:00:00,3.5,3/1/2025 19:00:00,0.0,3/1/2025 19:01:29,5.31
3/1/2025 20:00:00,3,3/1/2025 20:00:00,0.0,3/1/2025 20:01:29,4.87
3/1/2025 21:00:00,2.4,3/1/2025 21:00:00,0.0,3/1/2025 21:01:30,4.27
3/1/2025 22:00:00,2.9,3/1/2025 22:00:00,0.0,3/1/2025 22:01:30,4.48
3/1/2025 23:00:00,3.4,3/1/2025 23:00:00,0.5,3/1/2025 23:01:31,4.51
3/2/2025 0:00:00,3,3/2/2025 0:00:00,0.8,3/2/2025 0:01:31,4.10
3/2/2025 1:00:00,2.8,3/2/2025 1:00:00,1.0,3/2/2025 1:01:32,3.78
3/2/2025 2:00:00,2.7,3/2/2025 2:00:00,0.8,3/2/2025 2:01:32,3.36
3/2/2025 3:00:00,2.8,3/2/2025 3:00:00,1.0,3/2/2025 3:01:33,3.41
3/2/2025 4:00:00,3,3/2/2025 4:00:00,1.0,3/2/2025 4:01:34,3.55
3/2/2025 5:00:00,3.1,3/2/2025 5:00:00,1.8,3/2/2025 5:03:34,3.66
3/2/2025 6:00:00,3.1,3/2/2025 6:00:00,1.3,3/2/2025 6:01:35,3.55
3/2/2025 7:00:00,2.9,3/2/2025 7:00:00,1.0,3/2/2025 7:01:35,3.54
3/2/2025 8:00:00,2.9,3/2/2025 8:00:00,1.0,3/2/2025 8:01:36,3.67
3/2/2025 9:00:00,3.3,3/2/2025 9:00:00,1.5,3/2/2025 9:01:36,3.97
3/2/2025 10:00:00,3.7,3/2/2025 10:00:00,3.0,3/2/2025 10:01:37,4.45
3/2/2025 11:00:00,3.8,3/2/2025 11:00:00,3.0,3/2/2025 11:01:37,4.53
3/2/2025 12:00:00,3.9,3/2/2025 12:00:00,3.0,3/2/2025 12:01:38,4.69
3/2/2025 13:00:00,4.2,3/2/2025 13:00:00,3.3,3/2/2025 13:01:38,5.31
3/2/2025 14:00:00,4.4,3/2/2025 14:00:00,4.0,3/2/2025 14:01:39,5.78
3/2/2025 15:00:00,4.4,3/2/2025 15:00:00,3.8,3/2/2025 15:01:39,6.04
3/2/2025 16:00:00,4.1,3/2/2025 16:00:00,3.0,3/2/2025 16:01:40,5.97
3/2/2025 17:00:00,4.1,3/2/2025 17:00:00,3.0,3/2/2025 17:01:41,6.05
3/2/2025 18:00:00,4,3/2/2025 18:00:00,3.0,3/2/2025 18:01:41,6.03
3/2/2025 19:00:00,4,3/2/2025 19:00:00,2.8,3/2/2025 19:01:42,6.01
3/2/2025 20:00:00,3.8,3/2/2025 20:00:00,2.0,3/2/2025 20:01:42,5.88
3/2/2025 21:00:00,3.8,3/2/2025 21:00:00,2.0,3/2/2025 21:01:43,5.90
